BHK,Rent,Size,Floor,Area Type,Furnishing Status,Bathroom,Tenant Preferred_Bachelors,Tenant Preferred_Bachelors/Family,Tenant Preferred_Family,Point of Contact_Contact Agent,Point of Contact_Contact Builder,Point of Contact_Contact Owner,City_Bangalore,City_Chennai,City_Delhi,City_Hyderabad,City_Kolkata,City_Mumbai
2,10000,1100,0,1,0,2,0,1,0,0,0,1,0,0,0,0,1,0
2,20000,800,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0
2,17000,1000,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0
2,10000,800,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,7500,850,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
2,7000,600,0,1,0,2,0,1,0,0,0,1,0,0,0,0,1,0
2,10000,700,0,1,0,2,1,0,0,1,0,0,0,0,0,0,1,0
1,5000,250,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0
2,26000,800,1,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0
2,10000,1000,1,0,1,2,0,1,0,0,0,1,0,0,0,0,1,0
3,25000,1200,1,0,1,2,0,1,0,1,0,0,0,0,0,0,1,0
1,5000,400,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
1,6500,250,1,0,2,1,1,0,0,0,0,1,0,0,0,0,1,0
1,5500,375,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
3,8500,900,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0
3,40000,1286,1,0,2,2,0,1,0,0,0,1,0,0,0,0,1,0
2,6000,600,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0
2,10000,800,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,11000,2000,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,6000,660,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,7900,650,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
2,9000,400,2,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0
1,4000,300,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
3,6500,1600,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
1,8000,400,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0
2,7000,1000,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
1,5300,355,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0
2,6000,1000,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0
2,8500,800,4,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,12500,850,0,1,0,2,0,1,0,0,0,1,0,0,0,0,1,0
1,7500,350,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,15000,900,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0
2,6000,550,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0
2,5000,500,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0
3,22000,1100,2,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,15000,850,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0
2,12500,800,2,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
2,7000,630,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
2,21000,900,1,0,1,2,1,0,0,0,0,1,0,0,0,0,1,0
1,10000,270,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0
2,7200,630,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0
3,12000,1500,0,0,2,2,1,0,0,0,0,1,0,0,0,0,1,0
1,5000,600,2,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,8500,700,4,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0
1,6000,300,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0
2,10000,1300,0,1,1,2,0,0,1,0,0,1,0,0,0,0,1,0
2,4600,400,3,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0
2,12000,650,0,1,0,2,0,0,1,0,0,1,0,0,0,0,1,0
3,30000,2000,0,1,1,2,0,1,0,0,0,1,0,0,0,0,1,0
3,15000,1068,0,1,1,2,0,1,0,0,0,1,0,0,0,0,1,0
1,7500,150,1,1,2,1,0,1,0,0,0,1,0,0,0,0,1,0
1,7500,450,2,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
2,5000,800,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,15000,1000,0,1,0,2,0,1,0,0,0,1,0,0,0,0,1,0
2,11000,900,5,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0
1,7000,600,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,6000,1200,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,6000,1200,2,1,1,2,1,0,0,0,0,1,0,0,0,0,1,0
2,7000,650,0,1,1,2,0,1,0,0,0,1,0,0,0,0,1,0
2,8500,720,4,0,1,2,0,1,0,0,0,1,0,0,0,0,1,0
1,5000,300,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
3,30000,1200,0,0,0,3,0,1,0,1,0,0,0,0,0,0,1,0
2,10000,700,7,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0
3,30000,2000,1,1,1,2,0,1,0,0,0,1,0,0,0,0,1,0
1,3500,250,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0
2,8000,1100,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
1,5000,300,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,7500,600,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0
2,6500,800,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
1,7500,680,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
1,7500,680,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2,16000,850,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0
2,16000,850,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0
2,6500,700,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0
3,40000,1500,0,1,0,2,0,1,0,0,0,1,0,0,0,0,1,0
2,12500,950,1,1,1,2,0,1,0,0,0,1,0,0,0,0,1,0
2,5500,500,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
1,5000,450,2,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0
2,6500,700,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0
1,8000,500,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
3,14500,1800,0,1,1,2,0,1,0,0,0,1,0,0,0,0,1,0
1,8200,500,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0
2,15000,480,0,0,2,2,0,1,0,0,0,1,0,0,0,0,1,0
6,20000,1000,1,1,1,2,0,1,0,0,0,1,0,0,0,0,1,0
2,6700,800,1,1,2,1,0,1,0,0,0,1,0,0,0,0,1,0
1,10000,435,2,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
